draft_age,draft_pick,draft_year,entry,games,played_until,player,player_id,plus_minus,point_share,points,position,team,team_id
18,3,1984,3,1031,2000,Ed Olczyk,olczyed01,-65,60.5,794,C,Chicago Blackhawks,PIT
18,5,1983,5,777,2003,Tom Barrasso,barrato01,0,127.8,48,G,Buffalo Sabres,DAL
18,7,1982,7,235,1989,Ken Yaremchuk,yaremke01,-41,1.6,92,C,Chicago Blackhawks,BOS
18,10,1981,10,897,1995,Garth Butcher,butchga01,-121,42.3,206,D,Vancouver Canucks,PHX
18,15,1980,15,214,1987,Jerome Dupont,duponje01,-27,6.7,36,D,Chicago Blackhawks,MTL
20,24,1979,24,31,1982,Errol Rausse,rausser01,3,0.6,10,LW,Washington Capitals,NJD
18,2,1985,2,634,1995,Craig Simpson,simpscr01,3,39.2,497,LW,Pittsburgh Penguins,TOR
18,4,1984,4,799,1998,Al Iafrate,iafraal01,-72,64.3,463,D,Toronto Maple Leafs,PIT
18,6,1983,6,1194,2002,John MacLean,maclejo01,43,74.3,842,RW,New Jersey Devils,DAL
18,8,1982,8,38,1985,Rocky Trottier,trottro01,-3,0.2,10,RW,New Jersey Devils,BOS
18,11,1981,11,815,1995,Randy Moller,mollera01,47,47.5,225,D,Quebec Nordiques,PHX
19,16,1980,16,168,1983,Brad Palmer,palmebr01,-25,1.8,70,LW,Minnesota North Stars,MTL
19,25,1979,25,552,1989,Tomas Jonsson,jonssto01,64,49.0,344,D,New York Islanders,NJD
18,1,1987,1,1294,2007,Pierre Turgeon,turgepi01,139,134.3,1327,C,Buffalo Sabres,BUF
18,3,1985,3,695,1998,Craig Wolanin,wolancr01,-39,30.6,173,D,New Jersey Devils,TOR
18,5,1984,5,1028,2001,Petr Svoboda,svobope01,206,84.1,399,D,Montreal Canadiens,PIT
18,7,1983,7,1029,1999,Russ Courtnall,courtru01,-3,57.2,744,RW,Toronto Maple Leafs,DAL
18,9,1982,9,471,1992,Paul Cyr,cyrpa01,-46,11.9,241,LW,Buffalo Sabres,BOS
18,12,1981,12,697,1992,Tony Tanti,tantito01,-69,43.4,560,RW,Chicago Blackhawks,PHX
18,17,1980,17,1111,1998,Brent Sutter,suttebr02,166,64.7,829,C,New York Islanders,MTL
